Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1930;1930-07-13 00:00:00.000;" 15:00 ";Group 1;Pocitos;"Montevideo ";Uruguay;France;4;1;Mexico;" "
1930;1930-07-13 00:00:00.000;" 15:00 ";Group 4;Parque Central;"Montevideo ";Uruguay;USA;3;0;Belgium;" "
1930;1930-07-14 00:00:00.000;" 12:45 ";Group 2;Parque Central;"Montevideo ";Uruguay;Yugoslavia;2;1;Brazil;" "
1930;1930-07-14 00:00:00.000;" 14:50 ";Group 3;Pocitos;"Montevideo ";Uruguay;Romania;3;1;Peru;" "
1930;1930-07-15 00:00:00.000;" 16:00 ";Group 1;Parque Central;"Montevideo ";Uruguay;Argentina;1;0;France;" "
1930;1930-07-16 00:00:00.000;" 14:45 ";Group 1;Parque Central;"Montevideo ";Uruguay;Chile;3;0;Mexico;" "
1930;1930-07-17 00:00:00.000;" 12:45 ";Group 2;Parque Central;"Montevideo ";Uruguay;Yugoslavia;4;0;Bolivia;" "
1930;1930-07-17 00:00:00.000;" 14:45 ";Group 4;Parque Central;"Montevideo ";Uruguay;USA;3;0;Paraguay;" "
1930;1930-07-18 00:00:00.000;" 14:30 ";Group 3;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;1;0;Peru;" "
1930;1930-07-19 00:00:00.000;" 12:50 ";Group 1;Estadio Centenario;"Montevideo ";Uruguay;Chile;1;0;France;" "
1930;1930-07-19 00:00:00.000;" 15:00 ";Group 1;Estadio Centenario;"Montevideo ";Uruguay;Argentina;6;3;Mexico;" "
1930;1930-07-20 00:00:00.000;" 13:00 ";Group 2;Estadio Centenario;"Montevideo ";Uruguay;Brazil;4;0;Bolivia;" "
1930;1930-07-20 00:00:00.000;" 15:00 ";Group 4;Estadio Centenario;"Montevideo ";Uruguay;Paraguay;1;0;Belgium;" "
1930;1930-07-21 00:00:00.000;" 14:50 ";Group 3;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;4;0;Romania;" "
1930;1930-07-22 00:00:00.000;" 14:45 ";Group 1;Estadio Centenario;"Montevideo ";Uruguay;Argentina;3;1;Chile;" "
1930;1930-07-26 00:00:00.000;" 14:45 ";Semi-finals;Estadio Centenario;"Montevideo ";Uruguay;Argentina;6;1;USA;" "
1930;1930-07-27 00:00:00.000;" 14:45 ";Semi-finals;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;6;1;Yugoslavia;" "
1930;1930-07-30 00:00:00.000;" 14:15 ";Final;Estadio Centenario;"Montevideo ";Uruguay;Uruguay;4;2;Argentina;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Stadio Benito Mussolini;"Turin ";Italy;Austria;3;2;France;"Austria win after extra time "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Giorgio Ascarelli;"Naples ";Italy;Hungary;4;2;Egypt;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;San Siro;"Milan ";Italy;Switzerland;3;2;Netherlands;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Littorale;"Bologna ";Italy;Sweden;3;2;Argentina;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Giovanni Berta;"Florence ";Italy;Germany;5;2;Belgium;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Luigi Ferraris;"Genoa ";Italy;Spain;3;1;Brazil;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Nazionale PNF;"Rome ";Italy;Italy;7;1;USA;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Littorio;"Trieste ";Italy;Czechoslovakia;2;1;Romania;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Stadio Benito Mussolini;"Turin ";Italy;Czechoslovakia;3;2;Switzerland;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;San Siro;"Milan ";Italy;Germany;2;1;Sweden;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Italy;1;1;Spain;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Littorale;"Bologna ";Italy;Austria;2;1;Hungary;" "
1934;1934-06-01 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Italy;1;0;Spain;" "
1934;1934-06-03 00:00:00.000;" 16:30 ";Semi-finals;San Siro;"Milan ";Italy;Italy;1;0;Austria;" "
1934;1934-06-03 00:00:00.000;" 16:30 ";Semi-finals;Nazionale PNF;"Rome ";Italy;Czechoslovakia;3;1;Germany;" "
1934;1934-06-07 00:00:00.000;" 18:00 ";Match for third place;Giorgio Ascarelli;"Naples ";Italy;Germany;3;2;Austria;" "
1934;1934-06-10 00:00:00.000;" 17:30 ";Final;Nazionale PNF;"Rome ";Italy;Italy;2;1;Czechoslovakia;"Italy win after extra time "
1938;1938-06-04 00:00:00.000;" 17:00 ";First round;Parc des Princes;"Paris ";France;Switzerland;1;1;Germany;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Velodrome Municipale;"Reims ";France;Hungary;6;0;Dutch East Indies;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Olympique;"Colombes ";France;France;3;1;Belgium;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Municipal;"Toulouse ";France;Cuba;3;3;Romania;" "
1938;1938-06-05 00:00:00.000;" 17:00 ";First round;Stade Vï¿½lodrome;"Marseilles ";France;Italy;2;1;Norway;"Italy win after extra time "
1938;1938-06-05 00:00:00.000;" 17:30 ";First round;Stade de la Meinau;"Strasbourg ";France;Brazil;6;5;Poland;"Brazil win after extra time "
1938;1938-06-05 00:00:00.000;" 18:30 ";First round;Cavee Verte;"Le Havre ";France;Czechoslovakia;3;0;Netherlands;"Czechoslovakia win after extra time "
1938;1938-06-09 00:00:00.000;" 18:00 ";First round;Stade Municipal;"Toulouse ";France;Cuba;2;1;Romania;" "
1938;1938-06-09 00:00:00.000;" 18:00 ";First round;Parc des Princes;"Paris ";France;Switzerland;4;2;Germany;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Stade du Parc Lescure;"Bordeaux ";France;Brazil;1;1;Czechoslovakia;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Victor Boucquey;"Lille ";France;Hungary;2;0;Switzerland;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Fort Carree;"Antibes ";France;Sweden;8;0;Cuba;" "
1938;1938-06-12 00:00:00.000;" 17:00 ";Quarter-finals;Stade Olympique;"Colombes ";France;Italy;3;1;France;" "
1938;1938-06-14 00:00:00.000;" 18:00 ";Quarter-finals;Stade du Parc Lescure;"Bordeaux ";France;Brazil;2;1;Czechoslovakia;" "
1938;1938-06-16 00:00:00.000;" 18:00 ";Semi-finals;Parc des Princes;"Paris ";France;Hungary;5;1;Sweden;" "
1938;1938-06-16 00:00:00.000;" 18:00 ";Semi-finals;Stade Vï¿½lodrome;"Marseilles ";France;Italy;2;1;Brazil;" "
1938;1938-06-19 00:00:00.000;" 17:00 ";Match for third place;Stade du Parc Lescure;"Bordeaux ";France;Brazil;4;2;Sweden;" "
1938;1938-06-19 00:00:00.000;" 17:00 ";Final;Stade Olympique;"Colombes ";France;Italy;4;2;Hungary;" "
1950;1950-06-24 00:00:00.000;" 15:00 ";Group 1;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;4;0;Mexico;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;England;2;0;Chile;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 2;Durival de Brito;"Curitiba ";Brazil;Spain;3;1;USA;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 3;Pacaembu;"Sao Paulo ";Brazil;Sweden;3;2;Italy;" "
1950;1950-06-25 00:00:00.000;" 15:00 ";Group 1;Independencia;"Belo Horizonte ";Brazil;Yugoslavia;3;0;Switzerland;" "
1950;1950-06-28 00:00:00.000;" 15:00 ";Group 1;Pacaembu;"Sao Paulo ";Brazil;Brazil;2;2;Switzerland;" "
1950;1950-06-28 00:00:00.000;" 15:00 ";Group 1;Eucaliptos;"Porto Alegre ";Brazil;Yugoslavia;4;1;Mexico;" "
1950;1950-06-29 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Spain;2;0;Chile;" "
1950;1950-06-29 00:00:00.000;" 15:30 ";Group 3;Durival de Brito;"Curitiba ";Brazil;Sweden;2;2;Paraguay;" "
1950;1950-06-29 00:00:00.000;" 15:00 ";Group 2;Independencia;"Belo Horizonte ";Brazil;USA;1;0;England;" "
1950;1950-07-01 00:00:00.000;" 15:00 ";Group 1;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;2;0;Yugoslavia;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 2;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Spain;1;0;England;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 3;Pacaembu;"Sao Paulo ";Brazil;Italy;2;0;Paraguay;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 4;Independencia;"Belo Horizonte ";Brazil;Uruguay;8;0;Bolivia;" "
1950;1950-07-02 00:00:00.000;" 15:40 ";Group 1;Eucaliptos;"Porto Alegre ";Brazil;Switzerland;2;1;Mexico;" "
1950;1950-07-02 00:00:00.000;" 15:00 ";Group 2;Ilha do Retiro;"Recife ";Brazil;Chile;5;2;USA;" "
1950;1950-07-09 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Uruguay;2;2;Spain;" "
1950;1950-07-09 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;7;1;Sweden;" "
1950;1950-07-13 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;6;1;Spain;" "
1950;1950-07-13 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Uruguay;3;2;Sweden;" "
1950;1950-07-16 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Sweden;3;1;Spain;" "
1950;1950-07-16 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Uruguay;2;1;Brazil;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 3;Wankdorf Stadium;"Berne ";Switzerland;Uruguay;2;0;Czechoslovakia;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 3;Hardturm;"Zurich ";Switzerland;Austria;1;0;Scotland;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 1;Charmilles;"Geneva ";Switzerland;Brazil;5;0;Mexico;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 1;La Pontaise;"Lausanne ";Switzerland;Yugoslavia;1;0;France;" "
1954;1954-06-17 00:00:00.000;" 18:00 ";Group 2;Wankdorf Stadium;"Berne ";Switzerland;Germany FR;4;1;Turkey;" "
1954;1954-06-17 00:00:00.000;" 18:00 ";Group 2;Hardturm;"Zurich ";Switzerland;Hungary;9;0;Korea Republic;" "
1954;1954-06-17 00:00:00.000;" 18:10 ";Group 4;St. Jakob;"Basel ";Switzerland;England;4;4;Belgium;" "
1954;1954-06-17 00:00:00.000;" 17:50 ";Group 4;La Pontaise;"Lausanne ";Switzerland;Switzerland;2;1;Italy;" "
1954;1954-06-19 00:00:00.000;" 16:50 ";Group 3;St. Jakob;"Basel ";Switzerland;Uruguay;7;0;Scotland;" "
1954;1954-06-19 00:00:00.000;" 17:00 ";Group 3;Hardturm;"Zurich ";Switzerland;Austria;5;0;Czechoslovakia;" "
1954;1954-06-19 00:00:00.000;" 17:10 ";Group 1;Charmilles;"Geneva ";Switzerland;France;3;2;Mexico;" "
1954;1954-06-19 00:00:00.000;" 17:00 ";Group 1;La Pontaise;"Lausanne ";Switzerland;Brazil;1;1;Yugoslavia;" "
1954;1954-06-20 00:00:00.000;" 16:50 ";Group 2;St. Jakob;"Basel ";Switzerland;Hungary;8;3;Germany FR;" "
1954;1954-06-20 00:00:00.000;" 17:00 ";Group 2;Charmilles;"Geneva ";Switzerland;Turkey;7;0;Korea Republic;" "
1954;1954-06-20 00:00:00.000;" 17:10 ";Group 4;Wankdorf Stadium;"Berne ";Switzerland;England;2;0;Switzerland;" "
1954;1954-06-20 00:00:00.000;" 17:00 ";Group 4;Comunale di Cornaredo;"Lugano ";Switzerland;Italy;4;1;Belgium;" "
1954;1954-06-23 00:00:00.000;" 18:00 ";Group 2;Hardturm;"Zurich ";Switzerland;Germany FR;7;2;Turkey;" "
1954;1954-06-23 00:00:00.000;" 18:00 ";Group 4;St. Jakob;"Basel ";Switzerland;Switzerland;4;1;Italy;" "
1954;1954-06-26 00:00:00.000;" 17:00 ";Quarter-finals;St. Jakob;"Basel ";Switzerland;Uruguay;4;2;England;" "
1954;1954-06-26 00:00:00.000;" 17:00 ";Quarter-finals;La Pontaise;"Lausanne ";Switzerland;Austria;7;5;Switzerland;" "
1954;1954-06-27 00:00:00.000;" 17:00 ";Quarter-finals;Charmilles;"Geneva ";Switzerland;Germany FR;2;0;Yugoslavia;" "
1954;1954-06-27 00:00:00.000;" 17:00 ";Quarter-finals;Wankdorf Stadium;"Berne ";Switzerland;Hungary;4;2;Brazil;" "
1954;1954-06-30 00:00:00.000;" 18:00 ";Semi-finals;St. Jakob;"Basel ";Switzerland;Germany FR;6;1;Austria;" "
1954;1954-06-30 00:00:00.000;" 18:00 ";Semi-finals;La Pontaise;"Lausanne ";Switzerland;Hungary;4;2;Uruguay;"Hungary win after extra time "
1954;1954-07-03 00:00:00.000;" 17:00 ";Match for third place;Hardturm;"Zurich ";Switzerland;Austria;3;1;Uruguay;" "
1954;1954-07-04 00:00:00.000;" 17:00 ";Final;Wankdorf Stadium;"Berne ";Switzerland;Germany FR;3;2;Hungary;" "
1958;1958-06-08 00:00:00.000;" 14:00 ";Group 3;Rasunda Stadium;"Solna ";Sweden;Sweden;3;0;Mexico;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 4;Nya Ullevi;"Gothenburg ";Sweden;Soviet Union;2;2;England;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 1;Malmo Stadion;"Malmï¿½ ";Sweden;Argentina;1;3;Germany FR;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 3;Jarnvallen;"Sandviken ";Sweden;Hungary;1;1;Wales;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 2;Idrottsparken;"Norrkï¿½Ping ";Sweden;France;7;3;Paraguay;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 2;Arosvallen;"Vasteras ";Sweden;Yugoslavia;1;1;Scotland;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 4;Rimnersvallen;"Udevalla ";Sweden;Brazil;3;0;Austria;" "
1958;1958-06-08 00:00:00.000;" 19:00 ";Group 1;Orjans Vall;"Halmstad ";Sweden;Northern Ireland;1;0;Czechoslovakia;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 4;Nya Ullevi;"Gothenburg ";Sweden;Brazil;0;0;England;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 3;Rasunda Stadium;"Solna ";Sweden;Mexico;1;1;Wales;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 2;Idrottsparken;"Norrkï¿½Ping ";Sweden;Paraguay;3;2;Scotland;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 2;Arosvallen;"Vasteras ";Sweden;Yugoslavia;3;2;France;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 4;Ryavallen;"Boras ";Sweden;Soviet Union;2;0;Austria;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 1;Olympia Stadium;"Helsingborg ";Sweden;Germany FR;2;2;Czechoslovakia;" "
1958;1958-06-11 00:00:00.000;" 19:00 ";Group 1;Orjans Vall;"Halmstad ";Sweden;Argentina;3;1;Northern Ireland;" "
1958;1958-06-12 00:00:00.000;" 19:00 ";Group 3;Rasunda Stadium;"Solna ";Sweden;Sweden;2;1;Hungary;" "
1958;1958-06-15 00:00:00.000;" 14:00 ";Group 3;Rasunda Stadium;"Solna ";Sweden;Sweden;0;0;Wales;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 4;Nya Ullevi;"Gothenburg ";Sweden;Brazil;2;0;Soviet Union;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 1;Malmo Stadion;"Malmï¿½ ";Sweden;Germany FR;2;2;Northern Ireland;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 3;Jarnvallen;"Sandviken ";Sweden;Hungary;4;0;Mexico;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 2;Tunavallen;"Eskilstuna ";Sweden;Paraguay;3;3;Yugoslavia;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 2;Eyravallen;"Orebro ";Sweden;France;2;1;Scotland;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 4;Ryavallen;"Boras ";Sweden;England;2;2;Austria;" "
1958;1958-06-15 00:00:00.000;" 19:00 ";Group 1;Olympia Stadium;"Helsingborg ";Sweden;Czechoslovakia;6;1;Argentina;" "
1958;1958-06-17 00:00:00.000;" 19:00 ";Group 4;Nya Ullevi;"Gothenburg ";Sweden;Soviet Union;1;0;England;" "
1958;1958-06-17 00:00:00.000;" 19:00 ";Group 1;Malmo Stadion;"Malmï¿½ ";Sweden;Northern Ireland;2;1;Czechoslovakia;"Northern Ireland win after extra time "
1958;1958-06-17 00:00:00.000;" 19:00 ";Group 3;Rasunda Stadium;"Solna ";Sweden;Wales;2;1;Hungary;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Nya Ullevi;"Gothenburg ";Sweden;Brazil;1;0;Wales;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Malmo Stadion;"Malmï¿½ ";Sweden;Germany FR;1;0;Yugoslavia;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Rasunda Stadium;"Solna ";Sweden;Sweden;2;0;Soviet Union;" "
1958;1958-06-19 00:00:00.000;" 19:00 ";Quarter-finals;Idrottsparken;"Norrkï¿½Ping ";Sweden;France;4;0;Northern Ireland;" "
1958;1958-06-24 00:00:00.000;" 19:00 ";Semi-finals;Nya Ullevi;"Gothenburg ";Sweden;Sweden;3;1;Germany FR;" "
1958;1958-06-24 00:00:00.000;" 19:00 ";Semi-finals;Rasunda Stadium;"Solna ";Sweden;Brazil;5;2;France;" "
1958;1958-06-28 00:00:00.000;" 17:00 ";Match for third place;Nya Ullevi;"Gothenburg ";Sweden;France;6;3;Germany FR;" "
1958;1958-06-29 00:00:00.000;" 15:00 ";Final;Rasunda Stadium;"Solna ";Sweden;Brazil;5;2;Sweden;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Uruguay;2;1;Colombia;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;2;0;Mexico;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Argentina;1;0;Bulgaria;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Chile;3;1;Switzerland;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Soviet Union;2;0;Yugoslavia;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Czechoslovakia;1;0;Spain;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Hungary;2;1;England;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Germany FR;0;0;Italy;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Yugoslavia;3;1;Uruguay;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;0;0;Czechoslovakia;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;England;3;1;Argentina;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Chile;2;0;Italy;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Soviet Union;4;4;Colombia;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Spain;1;0;Mexico;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Hungary;6;1;Bulgaria;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Germany FR;2;1;Switzerland;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Soviet Union;2;1;Uruguay;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;2;1;Spain;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Hungary;0;0;Argentina;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Germany FR;2;0;Chile;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Yugoslavia;5;0;Colombia;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Mexico;3;1;Czechoslovakia;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;England;0;0;Bulgaria;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Italy;3;0;Switzerland;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Carlos Dittborn;"Arica ";Chile;Chile;2;1;Soviet Union;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;3;1;England;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Estadio El Teniente-Codelco;"Rancagua ";Chile;Czechoslovakia;1;0;Hungary;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Nacional;"Santiago De Chile ";Chile;Yugoslavia;1;0;Germany FR;" "
1962;1962-06-13 00:00:00.000;" 14:30 ";Semi-finals;Estadio Sausalito;"Vina Del Mar ";Chile;Czechoslovakia;3;1;Yugoslavia;" "
1962;1962-06-13 00:00:00.000;" 14:30 ";Semi-finals;Nacional;"Santiago De Chile ";Chile;Brazil;4;2;Chile;" "
1962;1962-06-16 00:00:00.000;" 14:30 ";Match for third place;Nacional;"Santiago De Chile ";Chile;Chile;1;0;Yugoslavia;" "
1962;1962-06-17 00:00:00.000;" 14:30 ";Final;Nacional;"Santiago De Chile ";Chile;Brazil;3;1;Czechoslovakia;" "
1966;1966-07-11 00:00:00.000;" 19:30 ";Group 1;Wembley Stadium;"London ";England;England;0;0;Uruguay;" "
1966;1966-07-12 00:00:00.000;" 19:30 ";Group 2;Hillsborough;"Sheffield ";England;Germany FR;5;0;Switzerland;" "
