Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1982;1982-06-24 00:00:00.000;" 17:15 ";Group 4;Jose Zorrilla;"Valladolid ";Spain;France;1;1;Czechoslovakia;" "
1982;1982-06-24 00:00:00.000;" 21:00 ";Group 5;La Romareda;"Zaragoza ";Spain;Honduras;0;1;Yugoslavia;" "
1982;1982-06-25 00:00:00.000;" 17:15 ";Group 2;El Molinon;"Gijon ";Spain;Germany FR;1;0;Austria;" "
1982;1982-06-25 00:00:00.000;" 17:15 ";Group 4;San Mames;"Bilbao ";Spain;England;1;0;Kuwait;" "
1982;1982-06-25 00:00:00.000;" 21:00 ";Group 5;Luis Casanova;"Valencia ";Spain;Northern Ireland;1;0;Spain;" "
1982;1982-06-28 00:00:00.000;" 17:15 ";Group 4;Vicente Calderon;"Madrid ";Spain;Austria;0;1;France;" "
1982;1982-06-28 00:00:00.000;" 21:00 ";Group 1;Camp Nou;"Barcelona ";Spain;Poland;3;0;Belgium;" "
1982;1982-06-29 00:00:00.000;" 17:15 ";Group 3;Sarria;"Barcelona ";Spain;Italy;2;1;Argentina;" "
1982;1982-06-29 00:00:00.000;" 21:00 ";Group 2;Santiago Bernabeu;"Madrid ";Spain;Germany FR;0;0;England;" "
1982;1982-07-01 00:00:00.000;" 17:15 ";Group 4;Vicente Calderon;"Madrid ";Spain;Austria;2;2;Northern Ireland;" "
1982;1982-07-01 00:00:00.000;" 21:00 ";Group 1;Camp Nou;"Barcelona ";Spain;Belgium;0;1;Soviet Union;" "
1982;1982-07-02 00:00:00.000;" 17:15 ";Group 3;Sarria;"Barcelona ";Spain;Argentina;1;3;Brazil;" "
1982;1982-07-02 00:00:00.000;" 21:00 ";Group 2;Santiago Bernabeu;"Madrid ";Spain;Germany FR;2;1;Spain;" "
1982;1982-07-04 00:00:00.000;" 17:15 ";Group 4;Vicente Calderon;"Madrid ";Spain;France;4;1;Northern Ireland;" "
1982;1982-07-04 00:00:00.000;" 21:00 ";Group 1;Camp Nou;"Barcelona ";Spain;Poland;0;0;Soviet Union;" "
1982;1982-07-05 00:00:00.000;" 17:15 ";Group 3;Sarria;"Barcelona ";Spain;Italy;3;2;Brazil;" "
1982;1982-07-05 00:00:00.000;" 21:00 ";Group 2;Santiago Bernabeu;"Madrid ";Spain;Spain;0;0;England;" "
1982;1982-07-08 00:00:00.000;" 17:15 ";Semi-finals;Camp Nou;"Barcelona ";Spain;Poland;0;2;Italy;" "
1982;1982-07-08 00:00:00.000;" 21:00 ";Semi-finals;Ramon Sanchez Pizjuan;"Seville ";Spain;Germany FR;3;3;France;" win on penalties (5 - 4) "
1982;1982-07-10 00:00:00.000;" 20:00 ";Match for third place;Jose Rico Perez;"Alicante ";Spain;Poland;3;2;France;" "
1982;1982-07-11 00:00:00.000;" 20:00 ";Final;Santiago Bernabeu;"Madrid ";Spain;Italy;3;1;Germany FR;" "
1986;1986-05-31 00:00:00.000;" 12:00 ";Group A;Estadio Azteca;"Mexico City ";Mexico;Bulgaria;1;1;Italy;" "
1986;1986-06-01 00:00:00.000;" 16:00 ";Group C;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Canada;0;1;France;" "
1986;1986-06-01 00:00:00.000;" 12:00 ";Group D;Jalisco;"Guadalajara ";Mexico;Spain;0;1;Brazil;" "
1986;1986-06-02 00:00:00.000;" 12:00 ";Group C;Estadio Irapuato;"Irapuato ";Mexico;Soviet Union;6;0;Hungary;" "
1986;1986-06-02 00:00:00.000;" 12:00 ";Group A;Estadio Olï¿½mpico Universitario;"Mexico City ";Mexico;Argentina;3;1;Korea Republic;" "
1986;1986-06-02 00:00:00.000;" 16:00 ";Group F;Estadio Universitario;"Monterrey ";Mexico;Morocco;0;0;Poland;" "
1986;1986-06-03 00:00:00.000;" 12:00 ";Group D;Tres de Marzo;"Guadalajara ";Mexico;Algeria;1;1;Northern Ireland;" "
1986;1986-06-03 00:00:00.000;" 12:00 ";Group B;Estadio Azteca;"Mexico City ";Mexico;Belgium;1;2;Mexico;" "
1986;1986-06-03 00:00:00.000;" 16:00 ";Group F;Tecnologico;"Monterrey ";Mexico;Portugal;1;0;England;" "
1986;1986-06-04 00:00:00.000;" 12:00 ";Group B;Bombonera - Estadio Nemesio Diez;"Toluca ";Mexico;Paraguay;1;0;Iraq;" "
1986;1986-06-04 00:00:00.000;" 16:00 ";Group E;Neza;"Nezahualcoyotl ";Mexico;Scotland;0;1;Denmark;" "
1986;1986-06-04 00:00:00.000;" 12:00 ";Group E;Estadio Corregidora;"Queretaro ";Mexico;Uruguay;1;1;Germany FR;" "
1986;1986-06-05 00:00:00.000;" 12:00 ";Group A;Cuauhtemoc;"Puebla ";Mexico;Italy;1;1;Argentina;" "
1986;1986-06-05 00:00:00.000;" 12:00 ";Group C;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;France;1;1;Soviet Union;" "
1986;1986-06-05 00:00:00.000;" 16:00 ";Group A;Estadio Olï¿½mpico Universitario;"Mexico City ";Mexico;Korea Republic;1;1;Bulgaria;" "
1986;1986-06-06 00:00:00.000;" 12:00 ";Group C;Estadio Irapuato;"Irapuato ";Mexico;Hungary;2;0;Canada;" "
1986;1986-06-06 00:00:00.000;" 12:00 ";Group D;Jalisco;"Guadalajara ";Mexico;Brazil;1;0;Algeria;" "
1986;1986-06-06 00:00:00.000;" 16:00 ";Group F;Tecnologico;"Monterrey ";Mexico;England;0;0;Morocco;" "
1986;1986-06-07 00:00:00.000;" 12:00 ";Group D;Tres de Marzo;"Guadalajara ";Mexico;Northern Ireland;1;2;Spain;" "
1986;1986-06-07 00:00:00.000;" 12:00 ";Group B;Estadio Azteca;"Mexico City ";Mexico;Mexico;1;1;Paraguay;" "
1986;1986-06-07 00:00:00.000;" 16:00 ";Group F;Estadio Universitario;"Monterrey ";Mexico;Poland;1;0;Portugal;" "
1986;1986-06-08 00:00:00.000;" 12:00 ";Group B;Bombonera - Estadio Nemesio Diez;"Toluca ";Mexico;Iraq;1;2;Belgium;" "
1986;1986-06-08 00:00:00.000;" 16:00 ";Group E;Neza;"Nezahualcoyotl ";Mexico;Denmark;6;1;Uruguay;" "
1986;1986-06-08 00:00:00.000;" 12:00 ";Group E;Estadio Corregidora;"Queretaro ";Mexico;Germany FR;2;1;Scotland;" "
1986;1986-06-09 00:00:00.000;" 12:00 ";Group C;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Hungary;0;3;France;" "
1986;1986-06-09 00:00:00.000;" 12:00 ";Group C;Estadio Irapuato;"Irapuato ";Mexico;Soviet Union;2;0;Canada;" "
1986;1986-06-10 00:00:00.000;" 12:00 ";Group A;Cuauhtemoc;"Puebla ";Mexico;Korea Republic;2;3;Italy;" "
1986;1986-06-10 00:00:00.000;" 12:00 ";Group A;Estadio Olï¿½mpico Universitario;"Mexico City ";Mexico;Argentina;2;0;Bulgaria;" "
1986;1986-06-11 00:00:00.000;" 12:00 ";Group B;Bombonera - Estadio Nemesio Diez;"Toluca ";Mexico;Paraguay;2;2;Belgium;" "
1986;1986-06-11 00:00:00.000;" 12:00 ";Group B;Estadio Azteca;"Mexico City ";Mexico;Iraq;0;1;Mexico;" "
1986;1986-06-11 00:00:00.000;" 16:00 ";Group F;Tres de Marzo;"Guadalajara ";Mexico;Portugal;1;3;Morocco;" "
1986;1986-06-11 00:00:00.000;" 16:00 ";Group F;Tecnologico;"Monterrey ";Mexico;England;3;0;Poland;" "
1986;1986-06-12 00:00:00.000;" 12:00 ";Group D;Jalisco;"Guadalajara ";Mexico;Northern Ireland;0;3;Brazil;" "
1986;1986-06-12 00:00:00.000;" 12:00 ";Group D;Tecnologico;"Monterrey ";Mexico;Algeria;0;3;Spain;" "
1986;1986-06-13 00:00:00.000;" 12:00 ";Group E;Neza;"Nezahualcoyotl ";Mexico;Scotland;0;0;Uruguay;" "
1986;1986-06-13 00:00:00.000;" 12:00 ";Group E;Estadio Corregidora;"Queretaro ";Mexico;Denmark;2;0;Germany FR;" "
1986;1986-06-15 00:00:00.000;" 16:00 ";Round of 16;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Soviet Union;3;4;Belgium;"Belgium win after extra time "
1986;1986-06-15 00:00:00.000;" 12:00 ";Round of 16;Estadio Azteca;"Mexico City ";Mexico;Mexico;2;0;Bulgaria;" "
1986;1986-06-16 00:00:00.000;" 16:00 ";Round of 16;Cuauhtemoc;"Puebla ";Mexico;Argentina;1;0;Uruguay;" "
1986;1986-06-16 00:00:00.000;" 12:00 ";Round of 16;Jalisco;"Guadalajara ";Mexico;Brazil;4;0;Poland;" "
1986;1986-06-17 00:00:00.000;" 12:00 ";Round of 16;Estadio Olï¿½mpico Universitario;"Mexico City ";Mexico;Italy;0;2;France;" "
1986;1986-06-17 00:00:00.000;" 16:00 ";Round of 16;Estadio Universitario;"Monterrey ";Mexico;Morocco;0;1;Germany FR;" "
1986;1986-06-18 00:00:00.000;" 12:00 ";Round of 16;Estadio Azteca;"Mexico City ";Mexico;England;3;0;Paraguay;" "
1986;1986-06-18 00:00:00.000;" 16:00 ";Round of 16;Estadio Corregidora;"Queretaro ";Mexico;Denmark;1;5;Spain;" "
1986;1986-06-21 00:00:00.000;" 12:00 ";Quarter-finals;Jalisco;"Guadalajara ";Mexico;Brazil;1;1;France;"France win on penalties (3 - 4) "
1986;1986-06-21 00:00:00.000;" 16:00 ";Quarter-finals;Estadio Universitario;"Monterrey ";Mexico;Germany FR;0;0;Mexico;"Germany FR win on penalties (4 - 1) "
1986;1986-06-22 00:00:00.000;" 16:00 ";Quarter-finals;Cuauhtemoc;"Puebla ";Mexico;Spain;1;1;Belgium;"Belgium win on penalties (4 - 5) "
1986;1986-06-22 00:00:00.000;" 12:00 ";Quarter-finals;Estadio Azteca;"Mexico City ";Mexico;Argentina;2;1;England;" "
1986;1986-06-25 00:00:00.000;" 12:00 ";Semi-finals;Jalisco;"Guadalajara ";Mexico;France;0;2;Germany FR;" "
1986;1986-06-25 00:00:00.000;" 16:00 ";Semi-finals;Estadio Azteca;"Mexico City ";Mexico;Argentina;2;0;Belgium;" "
1986;1986-06-28 00:00:00.000;" 12:00 ";Match for third place;Cuauhtemoc;"Puebla ";Mexico;France;4;2;Belgium;"France win after extra time "
1986;1986-06-29 00:00:00.000;" 12:00 ";Final;Estadio Azteca;"Mexico City ";Mexico;Argentina;3;2;Germany FR;" "
1990;1990-06-08 00:00:00.000;" 18:00 ";Group B;Giuseppe Meazza;"Milan ";Italy;Argentina;0;1;Cameroon;" "
1990;1990-06-09 00:00:00.000;" 17:00 ";Group B;Stadio San Nicola;"Bari ";Italy;Soviet Union;0;2;Romania;" "
1990;1990-06-09 00:00:00.000;" 17:00 ";Group D;Renato Dall Ara;"Bologna ";Italy;United Arab Emirates;0;2;Colombia;" "
1990;1990-06-09 00:00:00.000;" 21:00 ";Group A;Stadio Olimpico;"Rome ";Italy;Italy;1;0;Austria;" "
1990;1990-06-10 00:00:00.000;" 17:00 ";Group A;Comunale;"Florence ";Italy;USA;1;5;Czechoslovakia;" "
1990;1990-06-10 00:00:00.000;" 21:00 ";Group C;Stadio delle Alpi;"Turin ";Italy;Brazil;2;1;Sweden;" "
1990;1990-06-10 00:00:00.000;" 21:00 ";Group D;Giuseppe Meazza;"Milan ";Italy;Germany FR;4;1;Yugoslavia;" "
1990;1990-06-11 00:00:00.000;" 17:00 ";Group C;Luigi Ferraris;"Genoa ";Italy;Costa Rica;1;0;Scotland;" "
1990;1990-06-11 00:00:00.000;" 21:00 ";Group F;Sant Elia;"Cagliari ";Italy;England;1;1;Republic of Ireland;" "
1990;1990-06-12 00:00:00.000;" 17:00 ";Group E;Marc Antonio Bentegodi;"Verona ";Italy;Belgium;2;0;Korea Republic;" "
1990;1990-06-12 00:00:00.000;" 21:00 ";Group F;Della Favorita;"Palermo ";Italy;Netherlands;1;1;Egypt;" "
1990;1990-06-13 00:00:00.000;" 17:00 ";Group E;Dacia Arena;"Udine ";Italy;Uruguay;0;0;Spain;" "
1990;1990-06-13 00:00:00.000;" 21:00 ";Group B;San Paolo;"Naples ";Italy;Argentina;2;0;Soviet Union;" "
1990;1990-06-14 00:00:00.000;" 17:00 ";Group B;Stadio San Nicola;"Bari ";Italy;Cameroon;2;1;Romania;" "
1990;1990-06-14 00:00:00.000;" 17:00 ";Group D;Renato Dall Ara;"Bologna ";Italy;Yugoslavia;1;0;Colombia;" "
1990;1990-06-14 00:00:00.000;" 21:00 ";Group A;Stadio Olimpico;"Rome ";Italy;Italy;1;0;USA;" "
1990;1990-06-15 00:00:00.000;" 17:00 ";Group A;Comunale;"Florence ";Italy;Austria;0;1;Czechoslovakia;" "
1990;1990-06-15 00:00:00.000;" 21:00 ";Group D;Giuseppe Meazza;"Milan ";Italy;Germany FR;5;1;United Arab Emirates;" "
1990;1990-06-16 00:00:00.000;" 17:00 ";Group C;Stadio delle Alpi;"Turin ";Italy;Brazil;1;0;Costa Rica;" "
1990;1990-06-16 00:00:00.000;" 21:00 ";Group C;Luigi Ferraris;"Genoa ";Italy;Sweden;1;2;Scotland;" "
1990;1990-06-16 00:00:00.000;" 21:00 ";Group F;Sant Elia;"Cagliari ";Italy;England;0;0;Netherlands;" "
1990;1990-06-17 00:00:00.000;" 17:00 ";Group F;Della Favorita;"Palermo ";Italy;Republic of Ireland;0;0;Egypt;" "
1990;1990-06-17 00:00:00.000;" 21:00 ";Group E;Dacia Arena;"Udine ";Italy;Korea Republic;1;3;Spain;" "
1990;1990-06-17 00:00:00.000;" 21:00 ";Group E;Marc Antonio Bentegodi;"Verona ";Italy;Belgium;3;1;Uruguay;" "
1990;1990-06-18 00:00:00.000;" 21:00 ";Group B;San Paolo;"Naples ";Italy;Argentina;1;1;Romania;" "
1990;1990-06-18 00:00:00.000;" 21:00 ";Group B;Stadio San Nicola;"Bari ";Italy;Cameroon;0;4;Soviet Union;" "
1990;1990-06-19 00:00:00.000;" 17:00 ";Group D;Giuseppe Meazza;"Milan ";Italy;Germany FR;1;1;Colombia;" "
1990;1990-06-19 00:00:00.000;" 17:00 ";Group D;Renato Dall Ara;"Bologna ";Italy;Yugoslavia;4;1;United Arab Emirates;" "
1990;1990-06-19 00:00:00.000;" 21:00 ";Group A;Stadio Olimpico;"Rome ";Italy;Italy;2;0;Czechoslovakia;" "
1990;1990-06-19 00:00:00.000;" 21:00 ";Group A;Comunale;"Florence ";Italy;Austria;2;1;USA;" "
1990;1990-06-20 00:00:00.000;" 21:00 ";Group C;Stadio delle Alpi;"Turin ";Italy;Brazil;1;0;Scotland;" "
1990;1990-06-20 00:00:00.000;" 21:00 ";Group C;Luigi Ferraris;"Genoa ";Italy;Sweden;1;2;Costa Rica;" "
1990;1990-06-21 00:00:00.000;" 17:00 ";Group E;Friuli;"Udine ";Italy;Korea Republic;0;1;Uruguay;" "
1990;1990-06-21 00:00:00.000;" 17:00 ";Group E;Marc Antonio Bentegodi;"Verona ";Italy;Belgium;1;2;Spain;" "
1990;1990-06-21 00:00:00.000;" 21:00 ";Group F;Della Favorita;"Palermo ";Italy;Republic of Ireland;1;1;Netherlands;" "
1990;1990-06-21 00:00:00.000;" 21:00 ";Group F;Sant Elia;"Cagliari ";Italy;England;1;0;Egypt;" "
1990;1990-06-23 00:00:00.000;" 17:00 ";Round of 16;San Paolo;"Naples ";Italy;Cameroon;2;1;Colombia;"Cameroon win after extra time "
1990;1990-06-23 00:00:00.000;" 21:00 ";Round of 16;Stadio San Nicola;"Bari ";Italy;Czechoslovakia;4;1;Costa Rica;" "
1990;1990-06-24 00:00:00.000;" 17:00 ";Round of 16;Stadio delle Alpi;"Turin ";Italy;Brazil;0;1;Argentina;" "
1990;1990-06-24 00:00:00.000;" 21:00 ";Round of 16;Giuseppe Meazza;"Milan ";Italy;Germany FR;2;1;Netherlands;" "
1990;1990-06-25 00:00:00.000;" 17:00 ";Round of 16;Luigi Ferraris;"Genoa ";Italy;Republic of Ireland;0;0;Romania;"Republic of Ireland win on penalties (5 - 4) "
1990;1990-06-25 00:00:00.000;" 21:00 ";Round of 16;Stadio Olimpico;"Rome ";Italy;Italy;2;0;Uruguay;" "
1990;1990-06-26 00:00:00.000;" 17:00 ";Round of 16;Marc Antonio Bentegodi;"Verona ";Italy;Spain;1;2;Yugoslavia;"Yugoslavia win after extra time "
1990;1990-06-26 00:00:00.000;" 21:00 ";Round of 16;Renato Dall Ara;"Bologna ";Italy;England;1;0;Belgium;"England win after extra time "
1990;1990-06-30 00:00:00.000;" 17:00 ";Quarter-finals;Comunale;"Florence ";Italy;Yugoslavia;0;0;Argentina;" win on penalties (2 - 3) "
1990;1990-06-30 00:00:00.000;" 21:00 ";Quarter-finals;Stadio Olimpico;"Rome ";Italy;Italy;1;0;Republic of Ireland;" "
1990;1990-07-01 00:00:00.000;" 17:00 ";Quarter-finals;Giuseppe Meazza;"Milan ";Italy;Germany FR;1;0;Czechoslovakia;" "
1990;1990-07-01 00:00:00.000;" 21:00 ";Quarter-finals;San Paolo;"Naples ";Italy;England;3;2;Cameroon;"England win after extra time "
1990;1990-07-03 00:00:00.000;" 20:00 ";Semi-finals;San Paolo;"Naples ";Italy;Italy;1;1;Argentina;" win on penalties (3 - 4) "
1990;1990-07-04 00:00:00.000;" 20:00 ";Semi-finals;Stadio delle Alpi;"Turin ";Italy;Germany FR;1;1;England;" win on penalties (4 - 3) "
1990;1990-07-07 00:00:00.000;" 20:00 ";Match for third place;Stadio San Nicola;"Bari ";Italy;Italy;2;1;England;" "
1990;1990-07-08 00:00:00.000;" 20:00 ";Final;Stadio Olimpico;"Rome ";Italy;Germany FR;1;0;Argentina;" "
1994;1994-06-17 00:00:00.000;" 19:30 ";Group C;Cotton Bowl;"Dallas ";USA;Spain;2;2;Korea Republic;" "
1994;1994-06-17 00:00:00.000;" 15:00 ";Group C;Soldier Field;"Chicago ";USA;Germany;1;0;Bolivia;" "
1994;1994-06-18 00:00:00.000;" 11:30 ";Group A;Pontiac Silverdome;"Detroit ";USA;USA;1;1;Switzerland;" "
1994;1994-06-18 00:00:00.000;" 16:00 ";Group E;Giants Stadium;"New York/New Jersey ";USA;Italy;0;1;Republic of Ireland;" "
1994;1994-06-18 00:00:00.000;" 19:30 ";Group A;Rose Bowl;"Los Angeles ";USA;Colombia;1;3;Romania;" "
1994;1994-06-19 00:00:00.000;" 12:30 ";Group F;Citrus Bowl;"Orlando ";USA;Belgium;1;0;Morocco;" "
1994;1994-06-19 00:00:00.000;" 16:00 ";Group E;RFK Stadium;"Washington Dc ";USA;Norway;1;0;Mexico;" "
1994;1994-06-19 00:00:00.000;" 19:30 ";Group B;Rose Bowl;"Los Angeles ";USA;Cameroon;2;2;Sweden;" "
1994;1994-06-20 00:00:00.000;" 19:30 ";Group F;RFK Stadium;"Washington Dc ";USA;Netherlands;2;1;Saudi Arabia;" "
1994;1994-06-20 00:00:00.000;" 16:00 ";Group B;Stanford Stadium;"San Francisco ";USA;Brazil;2;0;Russia;" "
1994;1994-06-21 00:00:00.000;" 12:30 ";Group D;Foxboro Stadium;"Boston ";USA;Argentina;4;0;Greece;" "
1994;1994-06-21 00:00:00.000;" 19:30 ";Group D;Cotton Bowl;"Dallas ";USA;Nigeria;3;0;Bulgaria;" "
1994;1994-06-21 00:00:00.000;" 16:00 ";Group C;Soldier Field;"Chicago ";USA;Germany;1;1;Spain;" "
1994;1994-06-22 00:00:00.000;" 16:00 ";Group A;Pontiac Silverdome;"Detroit ";USA;Romania;1;4;Switzerland;" "
1994;1994-06-22 00:00:00.000;" 19:30 ";Group A;Rose Bowl;"Los Angeles ";USA;USA;2;1;Colombia;" "
1994;1994-06-23 00:00:00.000;" 16:00 ";Group E;Giants Stadium;"New York/New Jersey ";USA;Italy;1;0;Norway;" "
1994;1994-06-23 00:00:00.000;" 19:30 ";Group C;Foxboro Stadium;"Boston ";USA;Korea Republic;0;0;Bolivia;" "
1994;1994-06-24 00:00:00.000;" 12:30 ";Group E;Citrus Bowl;"Orlando ";USA;Mexico;2;1;Republic of Ireland;" "
1994;1994-06-24 00:00:00.000;" 19:30 ";Group B;Pontiac Silverdome;"Detroit ";USA;Sweden;3;1;Russia;" "
1994;1994-06-24 00:00:00.000;" 16:00 ";Group B;Stanford Stadium;"San Francisco ";USA;Brazil;3;0;Cameroon;" "
1994;1994-06-25 00:00:00.000;" 12:30 ";Group F;Citrus Bowl;"Orlando ";USA;Belgium;1;0;Netherlands;" "
1994;1994-06-25 00:00:00.000;" 12:30 ";Group F;Giants Stadium;"New York/New Jersey ";USA;Saudi Arabia;2;1;Morocco;" "
1994;1994-06-25 00:00:00.000;" 16:00 ";Group D;Foxboro Stadium;"Boston ";USA;Argentina;2;1;Nigeria;" "
1994;1994-06-26 00:00:00.000;" 12:30 ";Group D;Soldier Field;"Chicago ";USA;Bulgaria;4;0;Greece;" "
1994;1994-06-26 00:00:00.000;" 16:00 ";Group A;Rose Bowl;"Los Angeles ";USA;USA;0;1;Romania;" "
1994;1994-06-26 00:00:00.000;" 16:00 ";Group A;Stanford Stadium;"San Francisco ";USA;Switzerland;0;2;Colombia;" "
1994;1994-06-27 00:00:00.000;" 16:00 ";Group C;Cotton Bowl;"Dallas ";USA;Germany;3;2;Korea Republic;" "
1994;1994-06-27 00:00:00.000;" 16:00 ";Group C;Soldier Field;"Chicago ";USA;Bolivia;1;3;Spain;" "
1994;1994-06-28 00:00:00.000;" 12:30 ";Group E;Giants Stadium;"New York/New Jersey ";USA;Republic of Ireland;0;0;Norway;" "
1994;1994-06-28 00:00:00.000;" 16:00 ";Group B;Pontiac Silverdome;"Detroit ";USA;Brazil;1;1;Sweden;" "
1994;1994-06-28 00:00:00.000;" 12:30 ";Group E;RFK Stadium;"Washington Dc ";USA;Italy;1;1;Mexico;" "
1994;1994-06-28 00:00:00.000;" 16:00 ";Group B;Stanford Stadium;"San Francisco ";USA;Russia;6;1;Cameroon;" "
1994;1994-06-29 00:00:00.000;" 12:30 ";Group F;Citrus Bowl;"Orlando ";USA;Morocco;1;2;Netherlands;" "
1994;1994-06-29 00:00:00.000;" 12:30 ";Group F;RFK Stadium;"Washington Dc ";USA;Belgium;0;1;Saudi Arabia;" "
1994;1994-06-30 00:00:00.000;" 19:30 ";Group D;Foxboro Stadium;"Boston ";USA;Greece;0;2;Nigeria;" "
1994;1994-06-30 00:00:00.000;" 19:30 ";Group D;Cotton Bowl;"Dallas ";USA;Argentina;0;2;Bulgaria;" "
1994;1994-07-02 00:00:00.000;" 12:00 ";Round of 16;Soldier Field;"Chicago ";USA;Germany;3;2;Belgium;" "
1994;1994-07-02 00:00:00.000;" 16:30 ";Round of 16;RFK Stadium;"Washington Dc ";USA;Spain;3;0;Switzerland;" "
1994;1994-07-03 00:00:00.000;" 12:00 ";Round of 16;Cotton Bowl;"Dallas ";USA;Saudi Arabia;1;3;Sweden;" "
1994;1994-07-03 00:00:00.000;" 13:30 ";Round of 16;Rose Bowl;"Los Angeles ";USA;Romania;3;2;Argentina;" "
1994;1994-07-04 00:00:00.000;" 12:00 ";Round of 16;Citrus Bowl;"Orlando ";USA;Netherlands;2;0;Republic of Ireland;" "
1994;1994-07-04 00:00:00.000;" 12:30 ";Round of 16;Stanford Stadium;"San Francisco ";USA;Brazil;1;0;USA;" "
1994;1994-07-05 00:00:00.000;" 13:00 ";Round of 16;Foxboro Stadium;"Boston ";USA;Nigeria;1;2;Italy;"Italy win after extra time "
1994;1994-07-05 00:00:00.000;" 16:30 ";Round of 16;Giants Stadium;"New York/New Jersey ";USA;Mexico;1;1;Bulgaria;"Bulgaria win on penalties (1 - 3) "
1994;1994-07-09 00:00:00.000;" 12:00 ";Quarter-finals;Foxboro Stadium;"Boston ";USA;Italy;2;1;Spain;" "
1994;1994-07-09 00:00:00.000;" 14:30 ";Quarter-finals;Cotton Bowl;"Dallas ";USA;Netherlands;2;3;Brazil;" "
1994;1994-07-10 00:00:00.000;" 12:00 ";Quarter-finals;Giants Stadium;"New York/New Jersey ";USA;Bulgaria;2;1;Germany;" "
1994;1994-07-10 00:00:00.000;" 12:30 ";Quarter-finals;Stanford Stadium;"San Francisco ";USA;Romania;2;2;Sweden;"Sweden win on penalties (4 - 5) "
1994;1994-07-13 00:00:00.000;" 16:00 ";Semi-finals;Giants Stadium;"New York/New Jersey ";USA;Bulgaria;1;2;Italy;" "
